ID,User,date,review,rating,type
6,bubusasa123456789,"2023-04-20 19:31 | Phân loại hàng: Trắng,L",,,normal
8,bui_van_thinh11,"2023-08-02 17:52 | Phân loại hàng: Quà tặng,L",Chọn cỡ to giao cỡ nhỏ nhất,,normal
18,buihan05,"2024-03-18 07:52 | Phân loại hàng: Hình 2,XL",,,normal
18,buihan05,"2024-05-07 21:34 | Phân loại hàng: Trắng Phối Nơ,XL",,,normal
17,buihuuphi,"2022-12-07 07:26 | Phân loại hàng: Đen,M","Mk mặc hơi rộng nhìn buồn cười lắm , bạn nào muốn mặc thì ib mk nha",,normal
10,bulth045,"2024-07-05 00:25 | Phân loại hàng: QUẦN JEAN NHÚNG,S",Ko cos túi quần 😫,,normal
16,buungocc,"2024-04-10 19:27 | Phân loại hàng: Full Set,L",mình xin gửi lịch của chương trình quý 1 và quý 2 để chúng ta biết rõ hơn và sắp xếp thời gian nhóm nhé,,normal
11,bypx383uus,2022-11-20 18:52 | Phân loại hàng: Nâu Rêu - L,"Chất liệu: kakiMàu sắc: xanhĐúng với mô tả: đúng mô tảHàng đẹp , giao nhanh , m đặt 1 chiếc xong đẹp quá nên đặt thêm cho bồ 1 cái cũng đẹp k kém :))) nói chung chất lượng 10đ",,normal
6,c*****4,"2024-05-08 14:06 | Phân loại hàng: Quần Jean,L",,,normal
10,c*****4,"2023-06-17 15:06 | Phân loại hàng: Chun buộc tóc,L",,,normal
16,c*****5,"2024-05-18 11:54 | Phân loại hàng: Quần Ribbon Xám,M",,,normal
6,c*****6,"2024-05-26 15:27 | Phân loại hàng: Quần Jean,S",,,normal
10,c*****6,"2023-08-07 08:57 | Phân loại hàng: QUẦN JEAN NHÚNG,M",,,normal
17,c*****i,"2022-12-18 01:12 | Phân loại hàng: Xanh Rêu,XXL",,,normal
18,c*****o,"2023-07-06 23:59 | Phân loại hàng: Pennes,S",,,normal
18,caolary,"2024-03-12 20:39 | Phân loại hàng: Columbia,S",,,normal
11,chang250193,2022-08-25 14:38 | Phân loại hàng: S,"Chất liệu: kakiMàu sắc: đúngĐúng với mô tả: đúngMàu xinh dáng chuẩn , mình 1 m 52 chắc phải lưen tầm 6-7 phân mới đẹp",,normal
17,channmeyy_,"2023-06-22 03:24 | Phân loại hàng: Đen,S","Ảnh mang tính nhận xu, giao hàng nhanh, đóng gói cẩn thận, chất vải k bị quá nóng, đẹp nhưng phần chun hơi to",,normal
