User,date,review,rating
nhathoangng999,"2023-02-13 09:11 | Phân loại hàng: Đen,L",Đúng với mô tả: saiChất liệu: DungMàu sắc: đúngHình in trên áo to hơn hình ảnh trong shop…………..,4 Sao (440)
huongheo80,"2023-04-06 13:01 | Phân loại hàng: Trắng,M",Màu sắc: trangĐúng với mô tả: đúngÁo đẹp ổn nhưng mà hàng giao đến nơi thì bọc bị rách shipper bảo là do lỗi vận chuyển may áo bên trong vẫn ok ko sao,4 Sao (440)
nongc204,"2024-03-14 17:33 | Phân loại hàng: Đen,L",Đúng với mô tả: áo hơi mỏng với giá đấy thì okMàu sắc: đen,4 Sao (440)
thankyouevrymuch,"2023-07-14 10:51 | Phân loại hàng: Đen,M",sản phâmt ok nhưng mà mấy cái hình in trên áo dễ tróc quá đi🥨🥨🥨🥨,4 Sao (440)
c7ym5ui8fm,"2023-02-09 12:43 | Phân loại hàng: Trắng,L",Chất liệu: đẹpMàu sắc: okiiHàng đẹp đáng mua,4 Sao (440)
vyvy101202,"2023-02-24 20:41 | Phân loại hàng: Trắng,L",Chất vải rất oke có điều size L mà như size M. Không thoải mái lắm,4 Sao (440)
giaungoc203,"2023-02-11 10:38 | Phân loại hàng: Kem,M",áo khá mỏng nha thấy được cả áo trông luôn ạ nhưng mà áo khá đẹp ạ,4 Sao (440)
7sd_2nx2pk,"2024-02-24 18:39 | Phân loại hàng: Kem,L","Đúng với mô tả: tui m55 mua size L vừa, nếu M sẽ hơi ngắnChất liệu: vải k mịn lắm, hơi mỏng",4 Sao (440)
et9nlwhq6l,"2024-05-21 19:32 | Phân loại hàng: Hồng,M",Màu sắc: hồngChất liệu: cottonĐúng với mô tả: đúngmik mua màu hồng thấy cũng mỏng nhma kh bị lộ quá chứ màu be mình nghĩ nó lộ hết á mà mấy áo của brand này nên mua size m nhé chứ ham rộng mua size lớn hơn về cs mà mặc cho hai người nên mua size m tại nó rộng có mức độ á,4 Sao (440)
hinho_12,"2024-04-11 15:30 | Phân loại hàng: Kem,M","Màu sắc: beĐúng với mô tả: cóChất liệu: vảiẢNH MANG TÍNH CHẤT NHẬN XU
Chất vải thoáng mát
Đóng gói cẩn thận ok
Màu thì là màu be tương đối đậm ai da ngăm cần cân nhắc
Hình in cũng cực cute  khó bị phai",4 Sao (440)
